Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	MergeSort in AEC	MergeSort in ADA	MergeSort in C	QuickSort in AEC	QuickSort in ADA	QuickSort in C
0.37445	2.30259	6.62936	4.00733	1.79176	5.94803	3.3322	5.35186
0.392319	2.30259	4.89784	3.21888	1.79176	6.2106	4.17439	5.36598
0.404054	2.30259	6.61874	3.91202	2.94444	6.09582	3.3322	5.34711
0.406054	2.19722	4.90527	3.17805	1.79176	6.13773	4.07754	5.34711
0.415522	2.30259	6.63463	4.06044	2.30259	5.76832	3.2581	5.34233
0.426457	2.30259	4.90527	3.21888	1.79176	6.02345	4.44265	5.57215
0.432991	2.30259	6.62804	4.00733	2.77259	5.81413	3.29584	5.33272
0.445393	2.30259	4.89784	3.17805	1.94591	5.99645	4.09434	5.36129
0.465262	2.30259	6.61607	3.97029	2.94444	5.85793	3.29584	5.33754
0.47433	2.30259	4.89784	3.17805	1.79176	5.99894	4.46591	5.52545
0.493399	2.30259	6.63068	3.98898	2.77259	5.86647	3.2581	5.34233
0.506068	2.19722	4.91998	3.17805	1.94591	6.18826	4.45435	5.33272
0.514202	2.19722	6.62936	3.89182	2.89037	5.98645	3.3322	5.34233
0.52407	2.19722	4.90527	3.21888	1.79176	6.20254	4.15888	5.34711
0.542206	2.30259	6.62936	3.95124	2.3979	6.02102	3.3322	5.33272
0.557008	2.19722	4.92725	3.17805	1.79176	6.36647	4.15888	5.34233
0.570476	2.19722	6.62672	3.98898	2.30259	6.2106	3.3673	5.34233
0.582211	2.30259	5.0689	4.31749	2.99573	7.10332	3.3673	5.34233
0.601947	2.19722	4.89035	3.21888	1.79176	5.76205	4.40672	5.8999
0.619949	2.19722	6.6174	3.95124	2.94444	6.1334	3.3322	5.34233
0.634618	2.30259	4.89784	3.17805	3.29584	7.23346	3.43399	5.35186
0.65222	2.30259	4.89784	3.17805	1.79176	6.3699	4.11087	5.36129
0.671156	2.30259	6.632	3.91202	2.94444	6.18208	3.3673	5.35659
0.689025	2.19722	5.0814	4.43082	2.99573	7.17931	3.3673	5.36129
0.709695	2.48491	4.90527	3.17805	1.79176	6.46303	4.18965	5.36598
0.72503	2.19722	6.6174	3.91202	2.99573	6.16121	3.3322	5.34233
0.745299	2.19722	4.89035	4.33073	3.4012	7.22766	3.3673	5.34233
